timestamp,cpu_percent,memory_mb
1768248827,15.1,82
1768248827,74.9,152
1768248827,82.3,179
1768248827,53.4,180
1768248827,33.2,180
1768248827,20.7,198
1768248828,74.5,242
1768248828,134.0,305
1768248828,114.9,305
